Algorithm,Queens,Best result,Iterations,Time,Solved
Genetic,8,0,45,0.6022951602935791,True
Genetic,8,1,200,2.4407668113708496,False
Genetic,8,0,45,0.5883049964904785,True
Genetic,8,1,200,2.4076623916625977,False
Genetic,8,0,45,0.5508556365966797,True
Genetic,8,1,200,2.385066032409668,False
Genetic,8,0,45,0.5678150653839111,True
Genetic,8,1,200,2.4678385257720947,False
Genetic,8,0,45,0.5842909812927246,True
Genetic,8,1,200,2.491791248321533,False
Genetic,8,0,45,0.57137131690979,True
Genetic,8,1,200,2.441148281097412,False
Genetic,8,0,45,0.5940279960632324,True
Genetic,8,1,200,2.4411256313323975,False
Genetic,8,0,55,0.6892797946929932,True
Genetic,8,0,16,0.19050812721252441,True
Genetic,8,0,55,0.7396306991577148,True
Genetic,8,0,16,0.19134235382080078,True
Genetic,8,0,55,0.6918461322784424,True
Genetic,8,0,16,0.19465065002441406,True
Genetic,8,0,55,0.6887490749359131,True
Genetic,8,0,16,0.20560407638549805,True
Genetic,8,0,55,0.6737091541290283,True
Genetic,8,0,16,0.19139695167541504,True
Genetic,8,0,55,0.6703803539276123,True
Genetic,8,0,16,0.19216060638427734,True
Genetic,8,0,55,0.6678729057312012,True
Genetic,8,0,16,0.19294476509094238,True
Genetic,8,0,55,0.6722497940063477,True
Genetic,8,0,16,0.1894092559814453,True
Genetic,8,1,200,2.394223690032959,False
Genetic,8,0,61,0.7270472049713135,True
Genetic,8,1,200,2.421630859375,False
Genetic,8,0,61,0.7385659217834473,True
Genetic,8,1,200,2.384528875350952,False
Genetic,8,0,61,0.7254056930541992,True
Genetic,8,1,200,2.388638973236084,False
Genetic,8,0,61,0.7141070365905762,True
Genetic,8,1,200,2.4041824340820312,False
Genetic,8,0,61,0.7247850894927979,True
Genetic,8,1,200,2.3713040351867676,False
Genetic,8,0,61,0.7261223793029785,True
Genetic,8,1,200,2.3991527557373047,False
Genetic,8,0,61,0.7087368965148926,True
Genetic,8,1,200,2.376716375350952,False
Genetic,8,0,61,0.6772546768188477,True
Genetic,8,0,78,0.4676971435546875,True
Genetic,8,1,200,1.0217816829681396,False
hill_climbing,10,3,4,0.0054318904876708984,False
hill_climbing,10,1,6,0.007880926132202148,False
hill_climbing,10,1,6,0.007625579833984375,False
hill_climbing,10,2,5,0.0063397884368896484,False
hill_climbing,10,1,5,0.007612466812133789,False
hill_climbing,10,1,5,0.006742954254150391,False
hill_climbing,10,1,5,0.008310556411743164,False
hill_climbing,10,3,4,0.005930900573730469,False
hill_climbing,10,2,5,0.007407665252685547,False
hill_climbing,10,1,7,0.011638402938842773,False
hill_climbing,10,3,4,0.005329132080078125,False
hill_climbing,10,2,4,0.0054357051849365234,False
hill_climbing,10,2,4,0.0052301883697509766,False
hill_climbing,10,1,6,0.00795292854309082,False
hill_climbing,10,1,6,0.009621858596801758,False
hill_climbing,10,2,4,0.0055353641510009766,False
hill_climbing,10,2,6,0.008518695831298828,False
hill_climbing,10,1,7,0.009514808654785156,False
hill_climbing,10,2,4,0.005979299545288086,False
hill_climbing,10,2,5,0.00756072998046875,False
hill_climbing,10,2,4,0.005270481109619141,False
hill_climbing,10,3,4,0.005853891372680664,False
hill_climbing,10,2,5,0.006794452667236328,False
hill_climbing,10,1,5,0.007084369659423828,False
hill_climbing,10,0,5,0.0066013336181640625,True
hill_climbing,10,2,4,0.0054318904876708984,False
hill_climbing,10,2,6,0.01201486587524414,False
hill_climbing,10,3,3,0.008127927780151367,False
hill_climbing,10,1,6,0.01575493812561035,False
hill_climbing,10,2,3,0.004847049713134766,False
hill_climbing,10,1,5,0.006513118743896484,False
hill_climbing,10,1,5,0.006496906280517578,False
hill_climbing,10,3,3,0.003996849060058594,False
hill_climbing,10,3,4,0.005213499069213867,False
hill_climbing,10,2,1,0.0012967586517333984,False
hill_climbing,10,2,3,0.0038933753967285156,False
hill_climbing,10,0,7,0.008845090866088867,True
hill_climbing,10,1,5,0.006300449371337891,False
hill_climbing,10,1,5,0.006211757659912109,False
hill_climbing,10,3,4,0.0049784183502197266,False
hill_climbing,10,1,4,0.004947662353515625,False
hill_climbing,10,1,4,0.00500178337097168,False
hill_climbing,10,2,5,0.005922794342041016,False
hill_climbing,10,2,4,0.004797935485839844,False
hill_climbing,10,1,5,0.0059299468994140625,False
hill_climbing,10,1,6,0.00699305534362793,False
hill_climbing,10,1,6,0.006999969482421875,False
hill_climbing,10,1,4,0.0046994686126708984,False
hill_climbing,10,1,4,0.00475764274597168,False
hill_climbing,10,1,7,0.008219718933105469,False
simmulated_annealing,10,1,200,0.010214090347290039,False
simmulated_annealing,10,2,200,0.01026296615600586,False
simmulated_annealing,10,2,200,0.01117253303527832,False
simmulated_annealing,10,2,200,0.010298490524291992,False
simmulated_annealing,10,2,200,0.011060953140258789,False
simmulated_annealing,10,1,200,0.010432720184326172,False
simmulated_annealing,10,2,200,0.010499954223632812,False
simmulated_annealing,10,1,200,0.009922266006469727,False
simmulated_annealing,10,3,200,0.009810686111450195,False
simmulated_annealing,10,2,200,0.009930133819580078,False
simmulated_annealing,10,1,200,0.009852409362792969,False
simmulated_annealing,10,2,200,0.009871244430541992,False
simmulated_annealing,10,2,200,0.011719703674316406,False
simmulated_annealing,10,1,200,0.010304450988769531,False
simmulated_annealing,10,2,200,0.010010004043579102,False
simmulated_annealing,10,2,200,0.009716272354125977,False
simmulated_annealing,10,1,200,0.010110616683959961,False
simmulated_annealing,10,2,200,0.00996088981628418,False
simmulated_annealing,10,3,200,0.009828805923461914,False
simmulated_annealing,10,3,200,0.009644746780395508,False
simmulated_annealing,10,1,200,0.00958704948425293,False
simmulated_annealing,10,2,200,0.009915828704833984,False
simmulated_annealing,10,2,200,0.009916543960571289,False
simmulated_annealing,10,1,200,0.009937524795532227,False
simmulated_annealing,10,3,200,0.009943723678588867,False
simmulated_annealing,10,1,200,0.009737730026245117,False
simmulated_annealing,10,1,200,0.009859561920166016,False
simmulated_annealing,10,1,200,0.011215925216674805,False
simmulated_annealing,10,2,200,0.01114344596862793,False
simmulated_annealing,10,1,200,0.011108636856079102,False
simmulated_annealing,10,2,200,0.010646581649780273,False
simmulated_annealing,10,1,200,0.01042628288269043,False
simmulated_annealing,10,2,200,0.010098934173583984,False
simmulated_annealing,10,2,200,0.010085582733154297,False
simmulated_annealing,10,1,200,0.009894609451293945,False
simmulated_annealing,10,2,200,0.009771108627319336,False
simmulated_annealing,10,2,200,0.009886741638183594,False
simmulated_annealing,10,4,200,0.009726762771606445,False
simmulated_annealing,10,3,200,0.009865522384643555,False
simmulated_annealing,10,2,200,0.00996255874633789,False
simmulated_annealing,10,1,200,0.010376691818237305,False
simmulated_annealing,10,3,200,0.010158777236938477,False
simmulated_annealing,10,2,200,0.01036381721496582,False
simmulated_annealing,10,1,200,0.010262012481689453,False
simmulated_annealing,10,3,200,0.01015019416809082,False
simmulated_annealing,10,2,200,0.010318517684936523,False
simmulated_annealing,10,0,130,0.006727933883666992,True
simmulated_annealing,10,1,200,0.010039806365966797,False
simmulated_annealing,10,3,200,0.010035514831542969,False
simmulated_annealing,10,2,200,0.010018110275268555,False
Genetic,10,0,102,1.2853975296020508,True
Genetic,10,0,65,0.8148050308227539,True
Genetic,10,0,102,1.4522979259490967,True
Genetic,10,0,65,0.828831672668457,True
Genetic,10,0,102,1.3499383926391602,True
Genetic,10,0,65,0.8003919124603271,True
Genetic,10,0,102,1.3449742794036865,True
Genetic,10,0,65,0.818350076675415,True
Genetic,10,0,102,1.317500352859497,True
Genetic,10,0,65,0.8087224960327148,True
Genetic,10,0,102,1.2816503047943115,True
Genetic,10,0,65,0.829521656036377,True
Genetic,10,0,102,1.4409561157226562,True
Genetic,10,0,65,0.8076319694519043,True
Genetic,10,0,102,1.269423007965088,True
Genetic,10,0,65,0.8599286079406738,True
Genetic,10,0,166,2.080223798751831,True
Genetic,10,0,64,0.8030192852020264,True
Genetic,10,0,166,2.0381815433502197,True
Genetic,10,0,64,0.8200061321258545,True
Genetic,10,0,166,2.0519068241119385,True
Genetic,10,0,64,0.8426618576049805,True
Genetic,10,0,166,2.041853666305542,True
Genetic,10,0,64,0.7920846939086914,True
Genetic,10,0,166,2.041330575942993,True
Genetic,10,0,64,0.8065102100372314,True
Genetic,10,0,166,2.037933588027954,True
Genetic,10,0,64,0.8066306114196777,True
Genetic,10,0,166,2.0476808547973633,True
Genetic,10,0,64,0.8636636734008789,True
Genetic,10,0,166,2.051804542541504,True
Genetic,10,0,64,0.8118767738342285,True
Genetic,10,0,88,1.0836806297302246,True
Genetic,10,0,31,0.38266706466674805,True
Genetic,10,0,88,1.1033382415771484,True
Genetic,10,0,31,0.39011240005493164,True
Genetic,10,0,88,1.0889034271240234,True
Genetic,10,0,31,0.3813145160675049,True
Genetic,10,0,88,1.0886340141296387,True
Genetic,10,0,31,0.38058042526245117,True
Genetic,10,0,88,1.0914177894592285,True
Genetic,10,0,31,0.37136340141296387,True
Genetic,10,0,88,1.0883986949920654,True
Genetic,10,0,31,0.3827850818634033,True
Genetic,10,0,88,1.100637435913086,True
Genetic,10,0,31,0.30547165870666504,True
Genetic,10,0,88,1.0910353660583496,True
Genetic,10,0,31,0.2851865291595459,True
Genetic,10,1,200,1.0606458187103271,False
Genetic,10,0,188,0.9859919548034668,True
hill_climbing,12,2,6,0.015568256378173828,False
hill_climbing,12,1,7,0.02056264877319336,False
hill_climbing,12,1,5,0.014180421829223633,False
hill_climbing,12,2,5,0.014700174331665039,False
hill_climbing,12,1,7,0.019598007202148438,False
hill_climbing,12,2,6,0.015471458435058594,False
hill_climbing,12,2,7,0.03286409378051758,False
hill_climbing,12,2,6,0.030514001846313477,False
hill_climbing,12,1,7,0.0281374454498291,False
hill_climbing,12,1,8,0.024872541427612305,False
hill_climbing,12,2,7,0.019464731216430664,False
hill_climbing,12,1,6,0.015866994857788086,False
hill_climbing,12,2,6,0.015773773193359375,False
hill_climbing,12,3,4,0.009920120239257812,False
hill_climbing,12,0,7,0.017308712005615234,True
hill_climbing,12,1,5,0.011840105056762695,False
hill_climbing,12,2,4,0.009376049041748047,False
hill_climbing,12,1,7,0.017594575881958008,False
hill_climbing,12,1,6,0.015018939971923828,False
hill_climbing,12,1,5,0.011990547180175781,False
hill_climbing,12,1,6,0.014563560485839844,False
hill_climbing,12,1,7,0.016446828842163086,False
hill_climbing,12,2,5,0.011858463287353516,False
hill_climbing,12,2,5,0.011974334716796875,False
hill_climbing,12,1,7,0.01661062240600586,False
hill_climbing,12,3,6,0.014155149459838867,False
hill_climbing,12,1,7,0.01640176773071289,False
hill_climbing,12,3,4,0.009480953216552734,False
hill_climbing,12,2,7,0.017019033432006836,False
hill_climbing,12,2,7,0.016588926315307617,False
hill_climbing,12,2,7,0.01627492904663086,False
hill_climbing,12,1,5,0.011846542358398438,False
hill_climbing,12,1,7,0.01665520668029785,False
hill_climbing,12,3,5,0.012705087661743164,False
hill_climbing,12,3,5,0.013332843780517578,False
hill_climbing,12,2,4,0.01014089584350586,False
hill_climbing,12,2,6,0.014687061309814453,False
hill_climbing,12,0,8,0.021361827850341797,True
hill_climbing,12,1,7,0.01865530014038086,False
hill_climbing,12,3,5,0.01317453384399414,False
hill_climbing,12,3,4,0.010819673538208008,False
hill_climbing,12,3,5,0.01313328742980957,False
hill_climbing,12,3,4,0.009642601013183594,False
hill_climbing,12,2,5,0.0130615234375,False
hill_climbing,12,2,4,0.010495185852050781,False
hill_climbing,12,2,4,0.009813308715820312,False
hill_climbing,12,2,5,0.012678384780883789,False
hill_climbing,12,2,5,0.013068199157714844,False
hill_climbing,12,2,5,0.012601852416992188,False
hill_climbing,12,2,6,0.014912128448486328,False
simmulated_annealing,12,2,200,0.013945817947387695,False
simmulated_annealing,12,2,200,0.014216184616088867,False
simmulated_annealing,12,2,200,0.016753435134887695,False
simmulated_annealing,12,2,200,0.014847755432128906,False
simmulated_annealing,12,1,200,0.01417231559753418,False
simmulated_annealing,12,2,200,0.014832019805908203,False
simmulated_annealing,12,3,200,0.014480829238891602,False
simmulated_annealing,12,2,200,0.014041423797607422,False
simmulated_annealing,12,3,200,0.014336109161376953,False
simmulated_annealing,12,3,200,0.014033079147338867,False
simmulated_annealing,12,3,200,0.014908075332641602,False
simmulated_annealing,12,3,200,0.014525651931762695,False
simmulated_annealing,12,3,200,0.013937711715698242,False
simmulated_annealing,12,1,200,0.013876914978027344,False
simmulated_annealing,12,1,200,0.014380693435668945,False
simmulated_annealing,12,2,200,0.013577699661254883,False
simmulated_annealing,12,1,200,0.014226198196411133,False
simmulated_annealing,12,1,200,0.014517545700073242,False
simmulated_annealing,12,2,200,0.014076471328735352,False
simmulated_annealing,12,2,200,0.013859987258911133,False
simmulated_annealing,12,3,200,0.013426780700683594,False
